Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""9798804636129""",2,Harper,Paperback,212,2016,2016,,2025/06/01,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",2,Ecco,Hardcover,392,2015,2015,,2025/06/01,,,read,,,,1,0
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,"Hardy, Darren",,"=""""","=""""",2,SUCCESS Books,Kindle Edition,162,2010,2010,,2025/06/01,,,read,,,,1,0
58145670,Courage Is Calling: Fortune Favors the Brave,Ryan Holiday,"Holiday, Ryan",,"=""0593191676""","=""9780593191675""",3,Portfolio,Hardcover,278,2021,2021,2025/02/08,2025/03/07,,,read,,,,1,0
43582733,Stillness Is the Key,Ryan Holiday,"Holiday, Ryan",,"=""0525538585""","=""9780525538585""",3,Portfolio,Hardcover,288,2019,2019,2025/03/01,2025/03/07,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",4,Avery,Kindle Edition,319,2018,2018,2021/11/30,2025/06/01,,,read,,,,1,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",3,IT Revolution Press,Hardcover,345,2013,2013,,2025/06/01,,,read,,,,1,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",3,Portfolio,Hardcover,226,2016,2016,,2025/06/01,,,read,,,,1,0
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",1,Workman Publishing Company,Paperback,215,2014,2014,,2025/06/01,,,read,,,,1,0
174540,Busting Vegas: The MIT Whiz Kid Who Brought the Casinos to Their Knees,Ben Mezrich,"Mezrich, Ben",Semyon Dukach,"=""0060575115""","=""9780060575113""",3,William Morrow,Hardcover,304,2005,2005,,2025/06/01,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, Isle Lasch, William J. Winslade","=""080701429X""","=""9780807014295""",3,Beacon Press,Paperback,165,2006,1946,,2025/06/01,,,read,,,,1,0
60018575,Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,"Holiday, Ryan",,"=""0593191692""","=""9780593191699""",3,Portfolio,Hardcover,312,2022,2022,,2025/06/01,,,read,,,,1,0
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",1,Random House,Hardcover,375,2012,2012,,2025/06/01,,,read,,,,1,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",2,Warner,Paperback,210,2000,1997,,2025/06/01,,,read,,,,1,0
42527866,They Called Us Enemy,George Takei,"Takei, George","Justin Eisinger, Steven Scott, Harmony Becker","=""1603094504""","=""9781603094504""",2,Top Shelf Productions,Paperback,204,2019,2019,,2025/06/01,,,read,,,,1,0
775105,My Start-Up Life: What a (Very) Young CEO Learned on His Journey Through Silicon Valley,Ben Casnocha,"Casnocha, Ben",,"=""0787996130""","=""9780787996130""",2,Jossey-Bass,Hardcover,208,2007,2007,,2025/06/01,,,read,,,,1,0
124950497,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor  García,"García, Héctor",Francesc Miralles,"=""""","=""""",2,,Unknown Binding,208,2017,2016,,2025/06/09,,,read,,,,1,0
33514,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",E.B. White,"=""""","=""""",2,Allyn & Bacon,Hardcover,105,1999,1918,2025/09/26,2025/09/10,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",1,Free Press,Paperback,372,2004,1989,2025/10/29,2025/08/12,,,read,,,,1,0
378701,Soros: The Life and Times of a Messianic Billionaire,Michael T. Kaufman,"Kaufman, Michael T.",,"=""037570549X""","=""9780375705496""",1,Vintage,Paperback,384,2003,2002,2026/02/27,2026/01/27,,,read,,,,1,0
12475278,Software Engineering,Ian Sommerville,"Sommerville, Ian",,"=""""","=""""",0,Addison-Wesley,Paperback,792,2011,1982,,2025/08/27,currently-reading,currently-reading (#2),currently-reading,,,,1,0
61240297,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""059359973X""","=""9780593599730""",2,Del Rey,Hardcover,576,2022,1992,2026/01/27,2026/01/10,,,read,"To be honest, I were rather had a high expectation for this book. The only part that captivates me the most are when 1) Hiro discussing with Librarians about the past historical works of Lagod and 2) Ng Lee Enzo discussion about the virus. <br/><br/>The term metaverse here just means nothing to be honest—I would rather be interested if it were to be written in a more bustling 90's/early 2000's era and focusing on the development of the Snow Crash virus.",true,,1,0
58602635,Campbell's biology (12th edition),Lisa A. Urry,"Urry, Lisa A.","Neil A. Campbell, Michael L. Cain, Steven A. Wasserman, Peter V. Minorsky, Rebecca B. Orr","=""""","=""""",0,Pearson,Unknown Binding,1493,2020,1987,,2025/08/23,currently-reading,currently-reading (#1),currently-reading,,,,2,0
281818,Where Wizards Stay Up Late: The Origins of the Internet,Katie Hafner,"Hafner, Katie",Matthew Lyon,"=""0684832674""","=""9780684832678""",3,Simon & Schuster,Paperback,304,1998,1996,2026/01/10,2025/11/17,,,read,I was expecting some parts to describe the story of Soviet era Computer Networks. The book mostly covers the proliferation of computer networks in USA during Cold War era.,,,1,0
29093292,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""""","=""""",4,Portfolio,Hardcover,416,2016,2016,,2025/12/31,,,read,,,,1,0
51291,How to Lie with Statistics,Darrell Huff,"Huff, Darrell",Irving Geis,"=""0393310728""","=""9780393310726""",3,W. W. Norton & Company,Paperback,142,1982,1954,2025/11/17,2025/10/29,,,read,,,,1,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,"=""059373422X""","=""9780593734223""",3,Random House,Hardcover,528,2024,2024,2025/08/12,2025/07/05,,,read,The author doesn't want to talk about how information networks in Israel could be ramified into unprecedented genocide in Palestine.,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",3,Vintage,Paperback,512,2015,2011,,2025/06/01,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",3,Random House,Hardcover,372,2018,2018,2025/03/18,2025/03/18,,,read,"Sounds so optimistic about the AI part. Yuval is probably those type who said ""AGI is finally is here"" eventhough it hasnt.",,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",3,HarperOne,Paperback,182,2014,1988,,2025/06/01,,,read,,,,1,0
52962238,Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,"Dalio, Ray",,"=""1982160276""","=""9781982160272""",3,Avid Reader Press / Simon & Schuster,Hardcover,576,2021,2021,2025/07/05,2025/03/18,,,read,,,,1,0
